Threads	PerOperation	Sync
1	526	none
1	516	none
1	511	none
1	514	none
1	514	none
1	488	none
1	513	none
1	479	none
1	512	none
2	276	none
2	286	none
2	283	none
2	288	none
2	302	none
2	291	none
2	285	none
2	285	none
2	288	none
5	119	none
5	117	none
5	117	none
5	119	none
5	118	none
5	118	none
5	120	none
5	117	none
5	170	none
10	93 	none
10	88 	none
10	92 	none
10	91 	none
10	91 	none
10	75 	none
10	86 	none
10	92 	none
10	92 	none
20	89 	none
20	85 	none
20	65 	none
20	83 	none
20	81 	none
20	84 	none
20	59 	none
20	67 	none
20	86 	none
40	80 	none
40	81 	none
40	84 	none
40	76 	none
40	81 	none
40	75 	none
40	78 	none
40	80 	none
40	79 	none
30	71 	none
30	67 	none
30	50 	none
30	61 	none
30	50 	none
30	59 	none
30	72 	none
30	75 	none
30	69 	none
50	72 	none
50	77 	none
50	71 	none
50	81 	none
50	66 	none
50	63 	none
50	68 	none
50	65 	none
50	73 	none
60	73 	none
60	76 	none
60	69 	none
60	71 	none
60	73 	none
60	74 	none
60	68 	none
60	66 	none
60	69 	none
70	73 	none
70	77 	none
70	69 	none
70	60 	none
70	64 	none
70	71 	none
70	63 	none
70	77 	none
70	66 	none
1	544	mutex
1	543	mutex
1	710	mutex
1	554	mutex
1	542	mutex
1	540	mutex
1	541	mutex
1	539	mutex
1	544	mutex
2	1004	mutex
2	990	mutex
2	1014	mutex
2	1073	mutex
2	985	mutex
2	995	mutex
2	1012	mutex
2	998	mutex
2	924	mutex
5	1567	mutex
5	1503	mutex
5	1523	mutex
5	1526	mutex
5	1751	mutex
5	1658	mutex
5	1589	mutex
5	1536	mutex
5	1587	mutex
10	1643	mutex
10	1372	mutex
10	1472	mutex
10	1320	mutex
10	1282	mutex
10	1858	mutex
10	1537	mutex
10	1495	mutex
10	1505	mutex
20	3170	mutex
20	3206	mutex
20	3218	mutex
20	3194	mutex
20	3216	mutex
20	3186	mutex
20	3088	mutex
20	3195	mutex
20	3192	mutex
40	3223	mutex
40	3214	mutex
40	3228	mutex
40	3231	mutex
40	3181	mutex
40	3191	mutex
40	3216	mutex
40	3227	mutex
40	3193	mutex
30	3252	mutex
30	3133	mutex
30	3225	mutex
30	3225	mutex
30	3215	mutex
30	3247	mutex
30	3204	mutex
30	3231	mutex
30	3183	mutex
50	3204	mutex
50	3193	mutex
50	3135	mutex
50	3185	mutex
50	3194	mutex
50	3150	mutex
50	3138	mutex
50	3166	mutex
50	3219	mutex
60	3156	mutex
60	3177	mutex
60	3180	mutex
60	3166	mutex
60	3222	mutex
60	3134	mutex
60	3248	mutex
60	3162	mutex
60	3146	mutex
70	3200	mutex
70	3207	mutex
70	3217	mutex
70	3208	mutex
70	3162	mutex
70	3229	mutex
70	3221	mutex
70	3217	mutex
70	3216	mutex
1	572	spinlock
1	522	spinlock
1	521	spinlock
1	523	spinlock
1	533	spinlock
1	527	spinlock
1	529	spinlock
1	517	spinlock
1	530	spinlock
2	581	spinlock
2	575	spinlock
2	585	spinlock
2	583	spinlock
2	589	spinlock
2	576	spinlock
2	579	spinlock
2	580	spinlock
2	571	spinlock
5	524	spinlock
5	525	spinlock
5	498	spinlock
5	496	spinlock
5	458	spinlock
5	590	spinlock
5	457	spinlock
5	508	spinlock
5	471	spinlock
10	487	spinlock
10	475	spinlock
10	465	spinlock
10	460	spinlock
10	487	spinlock
10	511	spinlock
10	495	spinlock
10	443	spinlock
10	464	spinlock
20	578	spinlock
20	662	spinlock
20	856	spinlock
20	1045	spinlock
20	527	spinlock
20	826	spinlock
20	588	spinlock
20	784	spinlock
20	631	spinlock
40	1655	spinlock
40	2000	spinlock
40	2268	spinlock
40	1416	spinlock
40	2318	spinlock
40	2120	spinlock
40	1660	spinlock
40	1799	spinlock
40	1623	spinlock
30	1369	spinlock
30	1026	spinlock
30	1573	spinlock
30	908	spinlock
30	1061	spinlock
30	1521	spinlock
30	1690	spinlock
30	1666	spinlock
30	975	spinlock
50	2940	spinlock
50	2282	spinlock
50	2841	spinlock
50	2837	spinlock
50	2336	spinlock
50	2743	spinlock
50	3302	spinlock
50	2572	spinlock
50	2519	spinlock
60	4181	spinlock
60	2683	spinlock
60	3418	spinlock
60	3569	spinlock
60	2713	spinlock
60	3994	spinlock
60	2702	spinlock
60	3185	spinlock
60	3241	spinlock
70	3502	spinlock
70	3692	spinlock
70	3997	spinlock
70	3969	spinlock
70	3800	spinlock
70	3996	spinlock
70	3897	spinlock
70	3676	spinlock
70	2743	spinlock
1	494	cas
1	532	cas
1	531	cas
1	534	cas
1	523	cas
1	530	cas
1	526	cas
1	556	cas
1	527	cas
2	545	cas
2	539	cas
2	421	cas
2	557	cas
2	538	cas
2	555	cas
2	567	cas
2	538	cas
2	535	cas
5	403	cas
5	563	cas
5	448	cas
5	558	cas
5	558	cas
5	548	cas
5	524	cas
5	550	cas
5	404	cas
10	462	cas
10	484	cas
10	520	cas
10	505	cas
10	464	cas
10	486	cas
10	498	cas
10	489	cas
10	547	cas
20	566	cas
20	543	cas
20	525	cas
20	556	cas
20	534	cas
20	591	cas
20	563	cas
20	557	cas
20	542	cas
40	942	cas
40	937	cas
40	920	cas
40	917	cas
40	875	cas
40	921	cas
40	900	cas
40	931	cas
40	874	cas
30	522	cas
30	508	cas
30	539	cas
30	510	cas
30	491	cas
30	488	cas
30	501	cas
30	510	cas
30	503	cas
50	1389	cas
50	821	cas
50	1378	cas
50	1229	cas
50	1404	cas
50	1245	cas
50	1268	cas
50	1047	cas
50	929	cas
60	981	cas
60	1015	cas
60	1026	cas
60	1040	cas
60	1057	cas
60	981	cas
60	1019	cas
60	925	cas
60	1051	cas
70	1590	cas
70	1559	cas
70	1467	cas
70	1592	cas
70	1633	cas
70	1505	cas
70	987	cas
70	1576	cas
70	1326	cas
