Iterations	PerOperation
1	137294
1	214427
1	165200
1	131860
1	162071
1	155475
1	114270
1	154697
1	77238
2	42445
2	32127
2	40443
2	39482
2	41287
2	27980
2	32646
2	42341
2	17174
5	5455
5	6500
5	6517
5	6504
5	6650
5	2512
5	6581
5	4313
5	6907
10	1392
10	1414
10	1402
10	1663
10	1636
10	1445
10	1640
10	1414
10	1607
3	20494
3	18194
3	17993
3	18194
3	18088
3	19142
3	18492
3	18007
3	18393
7	3274
7	3294
7	3420
7	3349
7	3422
7	3407
7	3344
7	3410
7	3309
15	725
15	810
15	834
15	839
15	694
15	806
15	796
15	803
15	811
20	509
20	452
20	525
20	454
20	453
20	448
20	468
20	481
20	449
30	223
30	210
30	203
30	219
30	211
30	208
30	208
30	205
30	204
50	91
50	77
50	79
50	78
50	78
50	80
50	80
50	78
50	79
70	42
70	44
70	43
70	44
70	51
70	51
70	45
70	43
70	43
100	24
100	26
100	25
100	25
100	24
100	25
100	25
100	24
100	25
200	11
200	11
200	12
200	12
200	11
200	12
200	12
200	12
200	10
500	6
500	6
500	6
500	6
500	6
500	6
500	6
500	6
500	6
1000	6
1000	6
1000	6
1000	6
1000	6
1000	6
1000	6
1000	6
1000	6
300	8
300	8
300	8
300	8
300	8
300	8
300	8
300	8
300	8
