Iterations	PerOperation
1	141660
1	113419
1	119232
1	113052
1	114469
1	115531
1	113767
1	114590
1	113837
2	61013
2	60181
2	60525
2	52771
2	52585
2	50431
2	59409
2	57276
2	59114
5	19816
5	23640
5	21001
5	18262
5	12226
5	14730
5	14183
5	14151
5	20611
10	12589
10	11457
10	11528
10	11370
10	11280
10	11609
10	11388
10	11280
10	11527
20	5910
20	5754
20	5698
20	5867
20	5791
20	5645
20	6443
20	5891
20	5721
50	2478
50	2347
50	2350
50	2312
50	2375
50	2382
50	2130
50	2125
50	1473
100	1111
100	1159
100	1172
100	1145
100	1166
100	1160
100	1145
100	1168
100	1155
200	626
200	583
200	600
200	601
200	599
200	487
200	642
200	589
200	586
500	266
500	245
500	249
500	237
500	251
500	242
500	241
500	239
500	237
1000	129
1000	127
1000	127
1000	129
1000	126
1000	143
1000	128
1000	128
1000	128
2000	66
2000	71
2000	70
2000	70
2000	69
2000	70
2000	70
2000	70
2000	69
5000	39
5000	35
5000	35
5000	52
5000	35
5000	35
5000	35
5000	35
5000	35
10000	26
10000	24
10000	24
10000	24
10000	24
10000	24
10000	24
10000	24
10000	24
100000	14
100000	14
100000	14
100000	14
100000	14
100000	14
100000	14
100000	14
100000	14
1000000	10
1000000	11
1000000	12
1000000	11
1000000	8
1000000	10
1000000	11
1000000	11
1000000	11
